sovereignt,name,code,continent,subregion,sum_est_pop,eu_country,border_visible,fill_visible,value
Austria,Austria,Austria,Europe,Western Europe,8210281.0,True,1.0,1.0,0.656705983957
Belgium,Belgium,Belgium,Europe,Western Europe,10789548.0,True,1.0,1.0,0.222833628739
Bulgaria,Bulgaria,Bulgaria,Europe,Eastern Europe,7204687.0,True,1.0,1.0,0.0582838514846
Croatia,Croatia,Croatia,Europe,Southern Europe,4489409.0,True,1.0,1.0,0.228028061934
Czech Republic,Czech Republic,Czech Republic,Europe,Eastern Europe,10211904.0,True,1.0,1.0,0.128266853148
Denmark,Denmark,Denmark,Europe,Northern Europe,5542664.0,True,1.0,1.0,0.652078434286
Denmark,Faroe Islands,Faroe Islands,Europe,Northern Europe,48856.0,True,1.0,1.0,0.412460633627
Estonia,Estonia,Estonia,Europe,Northern Europe,1299371.0,True,1.0,1.0,0.0221147850592
Finland,Aland,Aland,Europe,Northern Europe,27153.0,True,1.0,1.0,0.128259820503
Finland,Finland,Finland,Europe,Northern Europe,5250275.0,True,1.0,1.0,0.549461040319
France,France,France,Europe,Western Europe,63439275.0,True,1.0,1.0,0.96552432552
Germany,Germany,Germany,Europe,Western Europe,82329758.0,True,1.0,1.0,0.365093667401
Greece,Greece,Greece,Europe,Southern Europe,10737428.0,True,1.0,1.0,0.0694563559627
Hungary,Hungary,Hungary,Europe,Eastern Europe,9905596.0,True,1.0,1.0,0.560505628063
Ireland,Ireland,Ireland,Europe,Northern Europe,4203200.0,True,1.0,1.0,0.0398370478171
Italy,Italy,Italy,Europe,Southern Europe,58126212.0,True,1.0,1.0,0.278711636473
Latvia,Latvia,Latvia,Europe,Northern Europe,2231503.0,True,1.0,1.0,0.722256375609
Lithuania,Lithuania,Lithuania,Europe,Northern Europe,3555179.0,True,1.0,1.0,0.108008024355
Luxembourg,Luxembourg,Luxembourg,Europe,Western Europe,491775.0,True,1.0,1.0,0.434514348665
Malta,Malta,Malta,Europe,Southern Europe,405165.0,True,1.0,1.0,0.434253362823
Netherlands,Netherlands,Netherlands,Europe,Western Europe,16715999.0,True,1.0,1.0,0.274420670462
Poland,Poland,Poland,Europe,Eastern Europe,38482919.0,True,1.0,1.0,0.456588714022
Portugal,Portugal,Portugal,Europe,Southern Europe,10707924.0,True,1.0,1.0,0.540076602827
Romania,Romania,Romania,Europe,Eastern Europe,22215421.0,True,1.0,1.0,0.397838996384
Slovakia,Slovakia,Slovakia,Europe,Eastern Europe,5463046.0,True,1.0,1.0,0.266273493364
Slovenia,Slovenia,Slovenia,Europe,Southern Europe,2005692.0,True,1.0,1.0,0.456535152869
Spain,Spain,Spain,Europe,Southern Europe,40525002.0,True,1.0,1.0,0.748688558493
Sweden,Sweden,Sweden,Europe,Northern Europe,9059651.0,True,1.0,1.0,0.643687365529
United Kingdom,England,England,Europe,Northern Europe,53013000.0,True,1.0,1.0,0.105964559887
United Kingdom,Jersey,Jersey,Europe,Northern Europe,91626.0,True,1.0,1.0,0.352493848772
United Kingdom,Northern Ireland,Northern Ireland,Europe,Northern Europe,1810900.0,True,1.0,1.0,0.867443798982
United Kingdom,Scotland,Scotland,Europe,Northern Europe,5254800.0,True,1.0,1.0,0.61290839238
United Kingdom,Wales,Wales,Europe,Northern Europe,0.0,True,1.0,1.0,0.699848950865
United Kingdom,Guernsey,Guernsey,Europe,Western Europe,68633.0,True,1.0,1.0,0.425594943449
United Kingdom,Isle of Man,Isle of Man,Europe,Northern Europe,76512.0,True,1.0,1.0,0.537670068866
United Kingdom,Gibraltar,Gibraltar,Europe,Southern Europe,28034.0,True,1.0,1.0,0.0122906211852
Albania,Albania,Albania,Europe,Southern Europe,3639453.0,False,1.0,0.0,0.634923756928
